report id,ReCDroid_1 Result,ReCDroid_1 Total Runtime,ReCDroid_1 NLP Runtime,ReCDroid_1 Search Runtime,Yakusu_1 Result,Yakusu_1 Total Runtime,Yakusu_1 NLP Runtime,Yakusu_1 Search Runtime,Reprobot_1 Result,ReproBot_1 Total Runtime,ReproBot_1 NLP Runtime,ReproBot_1 Search Runtime,ReproBot_2 Result,ReproBot_2 Total Runtime,ReproBot_2 NLP Runtime,ReproBot_2 Search Runtime,ReproBot_3 Result,ReproBot_3 Total Runtime,ReproBot_3 NLP Runtime,ReproBot_3 Search Runtime,# Success,VariantB Result,VariantB Total Runtime,VariantA_1 Result,VariantA_1 Total Runtime,VariantA_2 Result,VariantA_2 Total Runtime,VariantA_3 Result,VariantA_3 Total Runtime,# Success
saner2022-1299,Failed Timeout,3600,3.6,3596.4,Failed Timeout,3600,839.2,2760.8,Failed Timeout,3600,29.1,3570.9,Failed Timeout,3600,27.5,3572.5,Failed Timeout,3600,34.2,3565.8,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1300,Failed Timeout,3600,10.8,3589.2,Failed Timeout,3600,855.4,2744.6,Success,1371,31.8,1339.3,Success,826.9,31,795.9,False Reproduction,235.8,34.9,200.9,2,Failed Timeout,3600,False Reproduction,68.3,False Reproduction,114.7,False Reproduction,282.5,0
saner2022-1403,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,717.4,2882.6,Failed Timeout,3600,24.1,3575.9,Failed Timeout,3600,26.8,3573.2,Failed Timeout,3600,27.1,3572.9,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1404,Failed Timeout,3600,3.4,3596.6,Failed Timeout,3600,818.3,2781.7,Failed Timeout,3600,29.4,3570.6,Failed Timeout,3600,27.6,3572.4,Failed Timeout,3600,33.4,3566.6,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1405,Failed Timeout,3600,3.5,3596.5,Failed Timeout,3600,853.2,2746.8,Success,598.6,31.2,567.4,Success,1094.4,31.5,1062.9,Success,116.1,33.5,82.5,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1430,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,609.8,2990.2,Failed Timeout,3600,27.7,3572.3,Failed Timeout,3600,28.9,3571.1,Failed Timeout,3600,32.7,3567.3,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1447,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,537.6,3062.4,Success,520,29.7,490.4,Success,188.5,26.5,162.1,Success,702.1,34.3,667.8,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1568,Failed Timeout,3600,3.4,3596.6,Failed Timeout,3600,426.6,3173.4,Failed Timeout,3600,27.9,3572.1,Failed Timeout,3600,34.9,3565.1,Failed Timeout,3600,28.4,3571.6,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1645,Success,220,3.1,216.9,Failed Timeout,3600,428.1,3171.9,Success,440.1,32,408.1,Success,205.3,31.5,173.7,Success,1564.7,34,1530.7,3,Success,222.6,Success,168.3,Success,216.5,Success,308.3,3
saner2022-18,Failed Timeout,3600,3.4,3596.6,Failed Timeout,3600,781.1,2818.9,Failed Timeout,3600,28.2,3571.8,Failed Timeout,3600,30.1,3569.9,Failed Timeout,3600,31.1,3568.9,0,Failed Timeout,3600,Success,120.8,Success,236,Success,1056.4,3
saner2022-2,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,700.9,2899.1,Success,1891.2,29.1,1862.1,Success,1966.4,31.6,1934.9,Success,2006.6,28.7,1977.9,3,Failed Timeout,3600,Success,1221.2,Failed Timeout,3600,Failed Timeout,3600,1
saner2022-23,Success,70,3.3,66.7,Success,680.6,446.7,233.9,Success,67.6,28.1,39.5,Success,50.9,30.1,20.8,Success,133,35.3,97.7,3,Success,64.3,Success,122.9,Success,27.7,Success,35,3
saner2022-253,Failed Timeout,3600,3.5,3596.5,Yakusu could not run on the app,,,,Success,215.4,25,190.4,Success,202.6,26.7,175.9,Success,418.4,31,387.5,3,Failed Timeout,3600,Failed Timeout,3600,Success,292.6,False Reproduction,847.8,1
saner2022-256,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,633.3,2966.7,Failed Timeout,3600,28.4,3571.6,Failed Timeout,3600,29,3571,Failed Timeout,3600,31.1,3568.9,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-271,Failed Timeout,3600,3.1,3596.9,Failed Timeout,3600,565,3035,Failed Timeout,3600,29.1,3570.9,Failed Timeout,3600,26.8,3573.2,Failed Timeout,3600,32.6,3567.4,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-8,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,445.1,3154.9,Failed Timeout,3600,55.8,3544.2,Failed Timeout,3600,28.2,3571.8,Failed Timeout,3600,40.8,3559.2,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
yakusu-1,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,592.6,3007.4,Success,1886.6,27.3,1859.3,Success,400.2,30.3,369.9,Success,546.6,29.4,517.2,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
yakusu-35,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,402.1,3197.9,Failed Timeout,3600,31.1,3568.9,Failed Timeout,3600,27,3573,Failed Timeout,3600,33.9,3566.1,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
yakusu-98,Failed Timeout,3600,3.1,3596.9,Failed Timeout,3600,402.2,3197.8,Success,784.9,25.1,759.8,Success,297.2,24.3,272.9,Success,104.5,26.4,78.1,3,False Reproduction,25.1,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
